"Avg_mode_power","screensize (inch)"
68.9,54.50354330708661
68.98,54.492913385826775
69,42.5
69,42.514566929133856
69,64.52637795275591
69.15,49.463779527559055
69.3,60.10354330708662
69.4,54.63897637795275
69.5,49.5003937007874
69.6,54.64488188976378
69.64,54.63897637795275
69.65,54.63897637795275
69.8,54.61062992125985
69.9,49.463779527559055
70,41.54330708661417
70,42.5
70,42.514566929133856
70,54.48858267716536
70,54.61062992125985
70,54.63897637795275
70,74.51771653543307
70.2,41.50196850393701
70.4,64.5259842519685
70.66,54.63897637795275
70.7,49.37165354330708
70.8,54.61062992125985
71,42.514566929133856
71,49.4988188976378
71.1,54.63897637795275
71.19,49.5003937007874
71.24,57.50708661417323
71.3472,54.63897637795275
71.5,54.63897637795275
71.99,49.5003937007874
72,42.5
72,49.49803149606299
72,49.4988188976378
72.1,49.53228346456693
72.19,49.5003937007874
72.3,54.68385826771653
72.4,54.63897637795275
72.57,54.64488188976378
72.6,54.63897637795275
72.7,49.53228346456693
72.81,57.50708661417323
72.83,54.63897637795275
73,41.54330708661417
73,42.485039370078745
73,42.514566929133856
73,49.4988188976378
73.254,54.61850393700787
73.4,49.5003937007874
73.5,64.4996062992126
73.6,54.61062992125985
73.72,57.50708661417323
73.9,54.537795275590554
73.9,54.63897637795275
73.991,54.63897637795275
74,42.514566929133856
74,47.52795275590551
74,54.63897637795275
74.3,54.61062992125985
74.4,47.5248031496063
74.4,54.63897637795275
74.4,64.4996062992126
74.7,49.53228346456693
74.74,54.664173228346456
74.9,57.49566929133858
75,42.514566929133856
75,47.52795275590551
75,48.511417322834646
75,49.463779527559055
75,49.4988188976378
75,64.4996062992126
75.18,54.63897637795275
75.2,54.61062992125985
75.21,54.63897637795275
75.31,54.63897637795275
75.43,49.5003937007874
75.48,55.092913385826776
75.576,64.51456692913385
75.58,54.85511811023622
76,47.52795275590551
76,49.463779527559055
76,49.4988188976378
76.044,54.572047244094485
76.37,57.50708661417323
76.5,54.61062992125985
76.53,54.65275590551182
76.6,64.52637795275591
76.8,49.5003937007874
76.8,54.61062992125985
76.9,42.5
77,42.514566929133856
77,47.520866141732284
77,47.52795275590551
77,49.463779527559055
77,49.4988188976378
77,54.63897637795275
77,54.65275590551182
77.1,64.4996062992126
77.2,54.63897637795275
77.5,42.5
77.6,64.4996062992126
77.67,54.64488188976378
77.8,54.63897637795275
78,42.514566929133856
78,47.520866141732284
78,47.52795275590551
78,49.49803149606299
78,49.4988188976378
78,54.63897637795275
78.3,49.4988188976378
78.3,54.64488188976378
78.5,49.5003937007874
78.58,54.63897637795275
78.8,42.5
78.8,54.63897637795275
78.97,54.63897637795275
79,42.514566929133856
79,47.52795275590551
79,49.4988188976378
79,54.63897637795275
79.06,49.5003937007874
79.3,54.63897637795275
79.3,54.64488188976378
79.33,57.50708661417323
79.65,57.50708661417323
79.95,54.63897637795275
79.98,54.63897637795275
80,47.5244094488189
80,49.4988188976378
80,54.63897637795275
80.04,57.50708661417323
80.1,49.5003937007874
80.2,54.63897637795275
80.28,49.47874015748032
80.3,47.527165354330705
80.7,60.01732283464566
80.8,42.5
80.814,54.63897637795275
81,49.4988188976378
81,54.63897637795275
81,54.65275590551182
81.08,64.5259842519685
81.288,60.10354330708662
81.3,49.49803149606299
81.32,49.49803149606299
81.49,54.63897637795275
82,42.514566929133856
82,49.49803149606299
82,49.4988188976378
82,54.63897637795275
82.05,54.63897637795275
82.11,54.63897637795275
82.2,54.63897637795275
82.242,54.63897637795275
82.3,54.64488188976378
82.49,64.5259842519685
82.5,57.514960629921255
82.7,42.5
82.7,49.50236220472441
82.938,54.63897637795275
83,42.514566929133856
83,49.463779527559055
83,49.4988188976378
83,49.5003937007874
83,49.50236220472441
83,54.61062992125985
83.3,49.49803149606299
83.3,49.50511811023622
83.4,54.63897637795275
83.6,64.52637795275591
83.91,54.64488188976378
84,47.520866141732284
84,47.5248031496063
84,49.49803149606299
84,54.61062992125985
84,54.63897637795275
84.048,54.63897637795275
84.4,49.35629921259842
84.4,49.4988188976378
84.82,54.63897637795275
85,49.4988188976378
85,64.55314960629921
85.2,64.50905511811024
85.64,54.63897637795275
85.767,49.5003937007874
85.97,60.10354330708662
86,49.5003937007874
86,54.63897637795275
86,64.52637795275591
86.04,54.63897637795275
86.09,60.10944881889763
86.21,49.5003937007874
86.23,54.63897637795275
86.3,49.44448818897638
86.5,54.61062992125985
86.5,57.49566929133858
86.54,54.63897637795275
86.66,54.63897637795275
86.9,54.61062992125985
86.9,64.53385826771654
87,54.63897637795275
87,64.50905511811024
87,64.52637795275591
87.19,74.54330708661418
87.2,54.63897637795275
87.3,54.63897637795275
87.3,54.67952755905512
87.6,49.463779527559055
87.66,42.5
87.678,54.63897637795275
87.96,54.64488188976378
87.99,54.63897637795275
88,54.63897637795275
88,54.64488188976378
88.3,54.63897637795275
88.74,54.63897637795275
88.8,49.5003937007874
88.8,54.63897637795275
89,49.50236220472441
89,54.63897637795275
89.1,54.443700787401575
89.1,54.61062992125985
89.74,64.4996062992126
90,49.463779527559055
90,49.4988188976378
90,54.63897637795275
90.0792,64.5259842519685
90.1,42.5
90.1,54.548818897637794
90.1,64.4996062992126
90.11,54.63897637795275
90.1488,64.5259842519685
